fold,AUPRC,AUROC
0,0.6224241799144581,0.518796992481203
1,0.6549480114672636,0.5401069518716577
2,0.45610627778599444,0.42380952380952386
3,0.5016270826042515,0.38529411764705884
4,0.6337597016935472,0.5578947368421052
