fold,AUPRC,AUROC,alpha
0,0.7130491969419288,0.5770676691729324,1000.0
1,0.7597272306162679,0.6577540106951871,1000.0
2,0.5402097049362464,0.5238095238095238,1000.0
3,0.4596534403232589,0.46764705882352936,1000.0
4,0.6320308036130098,0.5473684210526315,1000.0
